17/12/2021                         	           	           	               	           	        	           	 	                        	  	        	                                      	                            	                                     	              	                        	              
ITX FX 2032 (New)                  	           	           	               	           	        	           	 	                        	  	        	                                      	                            	                                     	              	                        	              
TB                                 	Schedule   	Real       	Type           	Duration   	Comments	Offset     	^	SOD\EOD Overrun\Underrun	PR	Comments	Product                               	Version                     	Total Avail Used                     	Media Item    	Video Source            	Event Control 
                                   	           	14:58:10.00	Commercial Spot	00:00:10.00	        	00:00:00.00	 	    DWA POLO            	0 	        	CABLEM                                	DWA POLO                    	Used: 00:00:00.00    Rem: 00:00:10.00	SKSA-015190027	iTX                     	Auto Play     
                                   	           	14:58:20.00	Commercial Spot	00:00:20.00	        	00:00:00.00	 	    NUTMONSEAGO21AUTOS  	0 	        	MARENO                                	NUTMONSEAGO21AUTOS          	Used: 00:00:00.00    Rem: 00:00:20.00	SKSA-015177860	iTX                     	Auto Play     
                                   	           	14:58:40.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77353101   	0 	        	SKY MKT - Chica Control               	Alta 6 - 77353101           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077353101	iTX                     	Auto Play     
                                   	           	14:59:10.00	Promotion      	00:00:20.00	        	00:00:00.00	 	    76601601            	0 	        	ID 20" Gen SKY 19 NL V2 Filler        	76601601                    	Used: 00:00:00.00    Rem: 00:00:20.00	SKSP-076601601	iTX                     	Auto Play     
                                   	           	14:59:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6              	0 	        	Sky Sports - Bundesliga 2 Gen         	Alta 6                      	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077440401	iTX                     	Auto Play     
                                   	15:00:00.00	15:00:00.00	TX Slot Header 	00:00:00.00	        	00:00:00.00	 	                        	0 	        	15:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	Auto Play     
                                   	           	15:00:00.00	Programme Part 	00:58:00.00	        	00:00:00.00	 	                        	0 	        	15:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:58:00.00	              	RX_1101                 	Auto Play     
                                   	           	15:58:00.00	Promotion Break	00:02:00.00	        	00:00:00.00	 	                        	0 	        	                                      	                            	Used: 00:02:00.00    Rem: 00:00:00.00	              	                        	Manual Trigger
                                   	           	15:58:00.00	Commercial Spot	00:00:20.00	        	00:00:00.00	 	    DUALINVO2021FARM    	0 	        	MARENO                                	DUALINVO2021FARM            	Used: 00:00:00.00    Rem: 00:00:20.00	SKSA-015166935	iTX                     	Manual Trigger
                                   	           	15:58:20.00	Commercial Spot	00:00:10.00	        	00:00:00.00	 	    SE TU SE MAJA 10S   	0 	        	PHD MEXICO                            	SE TU SE MAJA 10S           	Used: 00:00:00.00    Rem: 00:00:10.00	SKSA-015187056	iTX                     	Auto Play     
                                   	           	15:58:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 76648901   	0 	        	SKY MKT - App SKY NL C                	Baja 2 - 76648901           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076648901	iTX                     	Auto Play     
                                   	           	15:59:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Baja 2 - 76949201   	0 	        	SKY MKT - RegServ En Lines            	Baja 2 - 76949201           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-076949201	iTX                     	Auto Play     
                                   	           	15:59:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77353101   	0 	        	SKY MKT - Chica Control               	Alta 6 - 77353101           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077353101	iTX                     	Auto Play     
                                   	16:00:00.00	16:00:00.00	TX Slot Header 	00:00:00.00	        	00:00:00.00	 	                        	0 	        	16:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	Auto Play     
                                   	           	16:00:00.00	Programme Part 	00:58:00.00	        	00:00:00.00	 	                        	0 	        	16:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:58:00.00	              	RX_1101                 	Auto Play     
                                   	           	16:58:00.00	Promotion Break	00:02:00.00	        	00:00:00.00	 	                        	0 	        	                                      	                            	Used: 00:02:00.00    Rem: 00:00:00.00	              	                        	Manual Trigger
                                   	           	16:58:00.00	Commercial Spot	00:00:20.00	        	00:00:00.00	 	    CARBOVICARASIMIOC21 	0 	        	MARCAS DE RENOMBRE                    	CARBOVICARASIMIOC21         	Used: 00:00:00.00    Rem: 00:00:20.00	SKSA-015184548	iTX                     	Manual Trigger
                                   	           	16:58:20.00	Commercial Spot	00:00:10.00	        	00:00:00.00	 	    SUBUR12MSIJUGUETRO  	0 	        	HAVAS MEDIA                           	SUBUR12MSIJUGUETRO          	Used: 00:00:00.00    Rem: 00:00:10.00	SKSA-015187013	iTX                     	Auto Play     
                                   	           	16:58:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77353301   	0 	        	SKY MKT - Señor Control               	Alta 6 - 77353301           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077353301	iTX                     	Auto Play     
